"year","source","d_form","c_code","code","code2","price","generic","volume","cost","prefecture","area","category"
2023,"pharmacy","injection",249,620000265,"2492413G8053",1427,0,4259,6077593,"Hiroshima","Chūgoku","Other hormonal preparations (including antihormonal agents)"
2015,"hospitalized","injection",325,620007529,"3253410A3034",901,0,0,0,"Fukushima","Tōhoku","Protein and amino acid preparations"
2015,"outpatients","topical",217,620004821,"2171700S1095",79.6,0,250002,19900159.2,"Kagawa","Shikoku","Vasodilators"
2019,"hospitalized","oral",217,621951201,"2171022F3072",10.3,1,7401.5,76235.45,"Kanagawa","Kantō","Vasodilators"
2020,"outpatients","injection",634,621769901,"6343432D6039",76977,0,0,0,"Kagawa","Shikoku","Blood products"
2018,"hospitalized","topical",264,620002619,"2649716M1042",2.73,0,70959.6,193719.708,"Tottori","Chūgoku","Analgesic, antipruritic, astringent, and anti-inflammatory dermatological agents"
2015,"outpatients","oral",399,610443018,"3999004M3021",119.3,0,0,0,"Gifu","Chūbu","Metabolic agents not elsewhere classified"
2020,"outpatients","topical",261,620007556,"2619700Q1222",0.79,0,56330,44500.7,"Chiba","Kantō","External antiseptics and disinfectants"
2019,"outpatients","topical",265,620002499,"2655712N1020",52.4,0,151223.4,7924106.16,"Hiroshima","Chūgoku","Antiparasitic dermatological agents"
2015,"outpatients","topical",112,661120012,"1124701J3025",82.5,0,3237.25,267073.125,"Fukuoka","Kyūshū","Hypnotics and sedatives; anxiolytics"
2018,"hospitalized","oral",614,620003942,"6149003R1070",33.5,1,0,0,"Yamanashi","Chūbu","Agents mainly active against Gram-positive bacteria and Mycoplasma"
2023,"hospitalized","oral",311,613990073,"3119001M2027",795.5,0,0,0,"Nagano","Chūbu","Vitamin A and D preparations"
2015,"outpatients","oral",399,610443019,"3999004M4028",252.2,0,0,0,"Fukuoka","Kyūshū","Metabolic agents not elsewhere classified"
2018,"pharmacy","oral",234,612340112,"2344004X1011",0.72,0,5488.5,3951.72,"Ōsaka","Kinki","Antacids"
2018,"outpatients","injection",121,641210029,"1211401A4016",92,0,9693,891756,"Kanagawa","Kantō","Local anesthetics"
2022,"outpatients","oral",245,612450051,"2456001F1019",9.8,0,23113.5,226512.3,"Kagoshima","Kyūshū","Adrenocortical hormone preparations"
2023,"pharmacy","topical",263,620008991,"2633705N1031",12.8,0,1959497.1,25081562.88,"Hyōgo","Kinki","Agents for suppurative diseases"
2019,"outpatients","oral",239,610451016,"2399012M1034",100.7,0,7250,730075,"Kagawa","Shikoku","Other gastrointestinal drugs"
2017,"hospitalized","injection",395,622051101,"3959406D2021",297459,0,0,0,"Kanagawa","Kantō","Enzyme preparations"
2018,"hospitalized","injection",313,643130152,"3131400A5146",62,0,1263,78306,"Toyama","Chūbu","Vitamin B preparations (excluding vitamin B1)"
2022,"hospitalized","injection",241,620008172,"2413400D1086",1058,1,0,0,"Hokkaidō","Hokkaidō","Pituitary hormone preparations"
2021,"outpatients","injection",111,641110009,"1115400X1019",822,0,0,0,"Kyōto","Kinki","General anesthetics"
2020,"pharmacy","injection",312,643120013,"3122401A3025",60,0,0,0,"Tokushima","Shikoku","Vitamin B1 preparations"
2020,"pharmacy","oral",396,622662501,"3969004F3015",10.6,1,443919,4705541.4,"Kyōto","Kinki","Antidiabetic drugs"
2016,"hospitalized","injection",611,620000427,"6111400D3051",317,0,13649,4326733,"Aomori","Tōhoku","Agents mainly active against Gram-positive bacteria"
2017,"pharmacy","oral",217,620005053,"2171017F2148",6.6,1,958091.5,6323403.9,"Hiroshima","Chūgoku","Vasodilators"
2021,"outpatients","topical",119,622839901,"1190700S2122",154.2,1,0,0,"Fukushima","Tōhoku","Other central nervous system drugs"
2019,"hospitalized","injection",721,621188801,"7219415H3066",1568,0,0,0,"Kagoshima","Kyūshū","X-ray contrast media"
2020,"outpatients","oral",114,611140845,"1149029F1033",15.2,0,28917,439538.4,"Ehime","Shikoku","Antipyretic, analgesic and anti-inflammatory drugs"
2019,"hospitalized","oral",218,620008053,"2189010F1292",14.6,1,6504,94958.4,"Aichi","Chūbu","Antihyperlipidemic agents"
2015,"pharmacy","oral",617,620008666,"6171001F1033",39.7,1,15243,605147.1,"Saga","Kyūshū","Agents mainly active against fungi"
2017,"hospitalized","injection",395,622404901,"3959417A1027",129908,0,0,0,"Kyōto","Kinki","Enzyme preparations"
2021,"hospitalized","oral",613,621709001,"6139100R1036",214.7,0,2730.47,586231.909,"Mie","Chūbu","Agents mainly active against Gram-positive and Gram-negative bacteria"
2023,"outpatients","oral",119,622538301,"1190017F2025",67.2,0,384091.4528,25810945.62816,"Kanagawa","Kantō","Other central nervous system drugs"
2018,"pharmacy","oral",212,622071401,"2123014F2198",9.7,1,84696,821551.2,"Miyazaki","Kyūshū","Antiarrhythmic agents"
